0.57,?a  <dbo:team>  ?b   => ?a  <dbo:formerTeam>  ?b
0.57,?a  <dbo:team>  ?b   => ?a  <dbo:formerTeam>  ?b
0.48,?a  <dbo:formerTeam>  ?b  ?a  <dbo:team>  ?b   => ?a  <dbo:debutTeam>  ?b
0.48,?a  <dbo:formerTeam>  ?b  ?a  <dbo:team>  ?b   => ?a  <dbo:debutTeam>  ?b
0.34,?a  <dbo:team>  ?b   => ?a  <dbo:debutTeam>  ?b
0.34,?a  <dbo:team>  ?b   => ?a  <dbo:debutTeam>  ?b
0.25,?a  <dbo:team>  ?b   => ?a  <dbo:draftTeam>  ?b
0.25,?a  <dbo:team>  ?b   => ?a  <dbo:draftTeam>  ?b
0.18,?a  <dbo:team>  ?b   => ?a  <dbo:managerClub>  ?b
0.18,?a  <dbo:team>  ?b   => ?a  <dbo:managerClub>  ?b
0.09,?e  <dbo:league>  ?b  ?e  <dbo:team>  ?a   => ?a  <dbo:season>  ?b
0.09,?e  <dbo:league>  ?b  ?e  <dbo:team>  ?a   => ?a  <dbo:season>  ?b
0.02,?a  <dbo:league>  ?f  ?f  <dbo:team>  ?b   => ?a  <dbo:draftTeam>  ?b
0.02,?a  <dbo:league>  ?f  ?f  <dbo:team>  ?b   => ?a  <dbo:draftTeam>  ?b
0.00,?b  <dbo:team>  ?a   => ?a  <dbo:manager>  ?b
0.00,?b  <dbo:team>  ?a   => ?a  <dbo:manager>  ?b
0.00,?a  <dbo:team>  ?f  ?b  <dbo:team>  ?f   => ?a  <dbo:followingEvent>  ?b
0.00,?a  <dbo:team>  ?f  ?b  <dbo:team>  ?f   => ?a  <dbo:followingEvent>  ?b
0.00,?b  <dbo:team>  ?a   => ?a  <dbo:chairman>  ?b
0.00,?b  <dbo:team>  ?a   => ?a  <dbo:chairman>  ?b
