Curtis_Grubb,"Peter_Grubb,_Jr."
Barry_O'Keefe,Johnny_O'Keefe
Mahinda_Samarasinghe,Ranil_Wickremesinghe
John_Borlase_Warren,"Robert_Smith,_1st_Baron_Carrington"
Elizabeth_I_of_England,Anne_Boleyn
James_Kirkpatrick_(politician),Roy_Blunt
Victor_Ashe,George_W._Bush
Francine_Irving_Neff,Gerald_Ford
James_Pleasants,John_Tyler
Princess_Leia,Luke_Skywalker
Woodrow_Wilson,William_C._Redfield
Wallace_Stevens,James_Merrill
Paul_Weller,Paul_McCartney
Kim_Hendren,Asa_Hutchinson
Grace_Adler,David_Kohan
Benjamin_F._Tracy,William_Collins_Whitney
Leslie_Joyce_Abrams,Barack_Obama
Pierre_Turgeon,Wayne_Gretzky
Mary_Sibbet_Copley,Russell_William_Thaw
Bill_Skarsgård,Alexander_Skarsgård
John_Platt_(settler),Mark_Sension
William_Woodbridge,James_Madison
Shyama_Charan_Gupta,Jamunotri_Gupta
Ernest_A._Macdonald,Oliver_Aiken_Howland
Linda_Lee_Cadwell,Bruce_Lee
Iftikhar_Ahmad_(journalist),Zulfikar_Ali_Bhutto
"Chichester_Parkinson-Fortescue,_1st_Baron_Carlingford","Sir_Robert_Peel,_3rd_Baronet"
Cinderella_(Disney_character),Marc_Davis_(animator)
Matthew_Piers_Watt_Boulton,Matthew_Robinson_Boulton
Benazir_Bhutto,Malik_Meraj_Khalid
Neville_Newell,Larry_Anthony
Ethan_Wayne,Michael_Wayne
Ian_Smith,John_Wrathall
Anthony_Eden,Winston_Churchill
Abraham_Lincoln,Andrew_Johnson
L._Paige_Marvel,Barack_Obama
Bruce_MacDonald_(public_servant),Pat_Galvin_(public_servant)
Renée_Simonot,Chiara_Mastroianni
G._Kathleen_Hill,Barack_Obama
Lincoln_Alexander,Ray_Hnatyshyn
Siân_Phillips,Peter_O'Toole
Craig_Ross,Lenny_Kravitz
"Sir_Richard_Wrottesley,_7th_Baronet",Thomas_Brand_(senior)
Katia_Mann,Thomas_Mann
Joanne_Grant,Victor_Rabinowitz
Hassanal_Bolkiah,Omar_Ali_Saifuddien_III
Kurt_Volker,George_W._Bush
Dr._Tenma,Nicolas_Cage
Islam_Karimov,Nigmatilla_Yuldashev
William_S._Burroughs,Samuel_Beckett
Nat_King_Cole,Frank_Sinatra
Charles_Abel_Buffum,Otis_Chandler
Emma_Swan,Wizard_of_Oz_(character)
Oliver_Chace,Malcolm_Greene_Chace
Prince_Michael_of_Kent,Princess_Michael_of_Kent
Lawrence_Washington_(1659–1698),John_Washington
Josiah_Quincy_III,Elijah_H._Mills
Andrew_Mellon,Warren_G._Harding
François_Mitterrand,Josep_Pintat-Solans
"Mildmay_Fane,_2nd_Earl_of_Westmorland","Christopher_Hatton,_1st_Baron_Hatton"
Gina_Marie_Groh,Barack_Obama
"Sir_George_Clerk,_6th_Baronet",Spencer_Perceval_(junior)
Robert_Nutting_(politician),Hannah_Pingree
John_Sykes,Phil_Lynott
Virginia_A._Seitz,Barack_Obama
Laurence_Tisch,Preston_Robert_Tisch
Jack_Straw,Kate_Hollern
C._Douglas_Dillon,Henry_H._Fowler
Max_Robertson,Elisabeth_Beresford
David_Michaels_(epidemiologist),Barack_Obama
Harry_Reid,Don_Nickles
Alan_Dukes,Garret_FitzGerald
Tufton_Beamish_(Royal_Navy_officer),"John_Loder,_2nd_Baron_Wakehurst"
Mahinda_Rajapaksa,Maithripala_Sirisena
Angus_MacInnis,Harold_Edward_Winch
Wan_Azizah_Wan_Ismail,Lim_Kit_Siang
Christopher_F._Egan,George_W._Bush
Jürgen_Kuczynski,Marguerite_Kuczynski
