Duchy_of_Ferrara,Ferrara
Wukari_Federation__Wukari_Federation__1,Wukari
Lithuanian–Byelorussian_Soviet_Socialist_Republic,Smolensk
Province_of_Lower_Silesia,Wrocław
Malaysia,Kuala_Lumpur
Netherlands-Indonesian_Union,Amsterdam
Nayaks_of_Gingee,Gingee_Fort
Vojvodina,Novi_Sad
Kingdom_of_Chiang_Mai,Chiang_Mai
Somogy_County_(former),Kaposvár
Ağ_Qoyunlu,Tabriz
United_Kingdom_of_Great_Britain_and_Ireland,London
"Sinkiang_Province,_Republic_of_China",Taipei
Austenasia,Carshalton
Biafra,Enugu_State
Kentucky,"Frankfort,_Kentucky"
Ashikaga_shogunate,Kyoto
Kingdom_of_Gwynedd,Chester
Protectorate_of_Bohemia_and_Moravia,Prague
Joseon,Seoul
Spanish_occupation_of_the_Dominican_Republic,Santo_Domingo
Kyoto_Prefecture,Kyoto
Schöntal_Abbey,Schöntal
Pudukkottai_State,Pudukkottai
State_of_Grão-Pará_and_Maranhão,Belém
Kharkiv_Governorate,Kharkiv
Emirate_of_Diriyah,Diriyah
Republic_of_the_North_Solomons,"Buka,_Papua_New_Guinea"
"State_of_Slovenes,_Croats_and_Serbs",Zagreb
Kastamonu_Eyalet,Kastamonu
Granadine_Confederation,Bogotá
Kingdom_of_Hawaii,Waikiki
Kingdom_of_England,London
German_colonial_empire,Berlin
Prince-Bishopric_of_Osnabrück,Osnabrück
Neutral_Moresnet,Kelmis
Bars_County,Zlaté_Moravce
Congo_Free_State,"Boma,_Democratic_Republic_of_the_Congo"
Prisoner_in_the_Vatican,Vatican_City
Kingdom_of_the_Canary_Islands,Betancuria
Swedish_Ingria,Narva
Pagan_Kingdom,Bagan
Frederiksberg_Municipality,Frederiksberg
Trichonida_Province,Agrinio
Crete_and_Cyrenaica,Gortyn
North-Western_Provinces,Allahabad
Bay_of_Islands_County,"Kawakawa,_New_Zealand"
Nablus_Sanjak,Nablus
Dominion_of_Pakistan,Karachi
Nicaragua,Managua
Lordship_of_Sidon,Sidon
Archbishopric_of_Riga,Riga
Miyagi_Prefecture,Sendai
Michigan,"Lansing,_Michigan"
Kraków_Voivodeship_(1919–39),Kraków
Autonomous_Republic_of_Crimea,Simferopol
Bhopal_State,Bhopal
Republic_of_Zakopane,Zakopane
Dutch_Malacca,Malacca_City
Vogtei_Rheintal,Altstätten
State_of_Damascus,Damascus
Jabal_Druze_State,As-Suwayda
Lebanon,Beirut
Margraviate_of_Landsberg,Weißenfels
Visigothic_Kingdom,Narbonne
Velikiye_Luki_Oblast,Velikiye_Luki
Kingdom_of_Aragon,Jaca
Principality_of_Transylvania_(1570–1711),Sibiu
Emirate_of_Jabal_Shammar,Ha'il
Deccan_sultanates,Golkonda
Iraqi_Kurdistan,Erbil
Republic_of_West_Papua,Jayapura
Confederate_Arizona,"Mesilla,_New_Mexico"
Kingdom_of_Portugal,Lisbon
Jalairid_Sultanate,Tabriz
Byzantine_Empire,"Syracuse,_Sicily"
Colombia,Bogotá
Pattani_Kingdom,"Pattani,_Thailand"
Sanjak_of_Pakrac,Čazma
Danube_Vilayet,"Ruse,_Bulgaria"
Republic_of_Afghanistan,Kabul
Sáros_County,Prešov
Duchy_of_Nassau,Weilburg
Papal_Legations,Bologna
Drina_Banovina,Sarajevo
Chenla,Sambor_Prei_Kuk
West_Punjab,Lahore
Tuvalu,Funafuti
Pyu_city-states,"Hanlin,_Burma"
Wuyue,Hangzhou
Peloponnese_(theme),Corinth
West_Indies_Federation,"Chaguaramas,_Trinidad"
Himan_and_Heeb,Adado
Northern_Liang,Dunhuang
Großbetschkerek_District,Zrenjanin
Essequibo_(colony),Fort_Zeelandia_(Guyana)
Gau_Essen,Essen
French_Protectorate_of_Laos,Luang_Prabang
General_Government_of_Belgium,City_of_Brussels
Karabakh_Khanate,Shusha
Crimean_Khanate,Stary_Krym
Virovitica_County,Osijek
County_of_Flanders,Ghent
Idaho_Territory,"Boise,_Idaho"
Awdalland,Borama
Principality_of_Göttingen,Göttingen
County_of_Hoya,"Hoya,_Germany"
Minyue,"Wuyishan,_Fujian"
Salm_(state),Vielsalm
Delaware_Colony,"New_Castle,_Delaware"
Shu_Han,Chengdu
Batha_Prefecture,"Ati,_Chad"
Diocese_of_Macedonia,Thessaloniki
Geography_of_Jersey,Saint_Helier
Odoacer__Regnum_Italicum__1,Ravenna
Zhou_dynasty,Luoyang
Bhutan,Thimphu
Yekaterinoslav_Governorate,Dnipropetrovsk
Roman_Empire,"Syracuse,_Sicily"
Empire_of_Japan,Tokyo_City
Provisional_Siberian_Government_(Omsk),Omsk
Margraviate_of_Brandenburg,Berlin
North-Western_Provinces,Lucknow
Silesian_Voivodeship_(1920–39),Katowice
Adamawa_Region,Ngaoundéré
Cupul,Valladolid
Saxe-Coburg_and_Gotha,Coburg
Lordship_of_Salona,Amfissa
Kars_Eyalet,Kars
Teng_(state),Tengzhou
Sanjak_of_Nicopolis,Bulgaria
Kanagawa_Prefecture,Yokohama
Kakuyids,Yazd
Ostrogothic_Kingdom,Ravenna
Burid_dynasty,Damascus
Waalo,Richard_Toll
Gagauzia,Comrat
Saint_John_Capisterre_Parish,Dieppe_Bay_Town
British_North_America,London
Taifa_of_Arcos,Andalusia
Federation_of_Rhodesia_and_Nyasaland,Harare
Second_Polish_Republic,Warsaw
"Acre_Subdistrict,_Mandatory_Palestine","Acre,_Israel"
Barony_of_Geraki,Geronthres
Liao_(Zhou_dynasty_state),Gushi_County
Republic_of_Florence,Florence
United_States,"Washington,_D.C."
Kingdom_of_Afghanistan,Kabul
Nguyễn_dynasty,Huế
Konbaung_Dynasty,Shwebo
Province_of_Brandenburg,Potsdam
Han_(state),Xinzheng
Southwest_Region_(Cameroon),Buea
Kingdom_of_Aragon,Zaragoza
Duchy_of_Silesia,Wrocław
Gorizia_and_Gradisca,Gorizia
Croatian_Republic_of_Herzeg-Bosnia,Mostar
Polish_People's_Republic,Łódź
Russian_Empire,Moscow
Viceroyalty_of_the_Río_de_la_Plata,Montevideo
Schönborn_(state),Wiesentheid
Petershausen_Abbey,Konstanz
Zheng_(state),Xinzheng
Maryland,"Annapolis,_Maryland"
Spanish_Empire,Madrid
County_of_Hanau,Hanau
Bima_Sultanate,Bima
Qasim_Khanate,Kasimov
Wei_(state),Kaifeng
Kingdom_of_the_Netherlands,Amsterdam
Courland,Ventspils
Ottoman_Tripolitania,Tripoli
Arno_(department),Florence
Kodagu_Kingdom,Madikeri
Bezirk_Neubrandenburg,Neubrandenburg
County_of_Barcelona,Barcelona
Abbey_of_Saint_Gall__Fürstabtei_St._Gallen__1,St._Gallen
Duchy_of_Zator,Zator
Holstein-Pinneberg,Pinneberg
New_Spain,Mexico_City
Zhoulai,Fengtai_County
Arizona_Territory,"Prescott,_Arizona"
Grand_Duchy_of_the_Lower_Rhine,Koblenz
Jamaica,"Kingston,_Jamaica"
Spanish_East_Indies,Manila
Kuwaiti_Government_in_exile,Kuwait_City
Shiga_Prefecture,Ōtsu
Croatia_in_the_union_with_Hungary,Knin
Duchy_of_Masovia,Płock
Georgia_(country),Tbilisi
"Norte_Region,_Portugal",Porto
Cisalpine_Republic,Province_of_Milan
Central_African_Empire,Bangui
County_Palatine_of_Tübingen,Tübingen
Colony_of_British_Columbia_(1866–71),"Victoria,_British_Columbia"
Sahrawi_Arab_Democratic_Republic,Laayoune
Lan_Na,Chiang_Rai_(city)
Mahra_Sultanate,Hadibu
Taifa_of_Badajoz,Extremadura
Amman_Governorate,Amman
British_Military_Administration_(Borneo),"Victoria,_Labuan"
Austria,Vienna
Exarchate_of_Ravenna,Ravenna
Later_Baekje,Jeonju
Imperial_County_of_Reuss,Greiz
Belgian_Congo,Kinshasa
Corsican_Republic,"Corte,_Haute-Corse"
Republika_Srpska,Sarajevo
Nakhon_Champassak_Province,Champasak_(town)
Ahom_kingdom,Jorhat
Portuguese_São_Tomé_and_Príncipe,São_Tomé
Bukhar_Khudahs,Bukhara
Dutch_Ceylon,Galle
Kingdom_of_Pontus,"Sinop,_Turkey"
"Saint_George_Parish,_Dominica",Roseau
Thinite_Confederacy,Thinis
Poonjar_dynasty,Poonjar
Donetsk_Governorate,Bakhmut
Saudeleur_Dynasty,Nan_Madol
Trencsén_County,Trenčín
Taipei_County,Banqiao_District
Northern_Wei,Datong
Syrmia_County,Vukovar
Bunyoro,Hoima
Chernihiv_Voivodeship,Chernihiv
Polish–Lithuanian_Commonwealth,Kraków
Powys_Fadog,Glyndyfrdwy
Despotate_of_Angelokastron_and_Lepanto,"Angelokastro,_Aetolia-Acarnania"
Saffarid_dynasty,Zaranj
Mountain_Autonomous_Soviet_Socialist_Republic,Vladikavkaz
Principality_of_Bulgaria,Sofia
Pylia,Pylos
French_Protectorate_of_Cambodia,Oudong
Macedonia_(ancient_kingdom),Vergina
Provisional_Government_of_Mexico_(1823–24),Mexico_City
Myanmar,Naypyidaw
Duchy_of_Masovia,"Czersk,_Masovian_Voivodeship"
Hephthalite_Empire,Balkh
East_Punjab,Chandigarh
Crown_of_the_Kingdom_of_Poland,Kraków
Republic_of_West_Florida,"St._Francisville,_Louisiana"
Serbian_Despotate,Smederevo
Denguélé_Region,Odienné
Uyvar_Eyalet,Nové_Zámky
Aden_Province,Aden
Modruš-Rijeka_County,Ogulin
Trần_dynasty,Hanoi
Konbaung_Dynasty,Amarapura
Armenian_Soviet_Socialist_Republic,Yerevan
Kingdom_of_Hawaii,"Lahaina,_Hawaii"
Prince-Bishopric_of_Paderborn,Paderborn
Kingdom_of_Italy,Salerno
North-West_Frontier_Province_(1901–55),Peshawar
Azawad,Timbuktu
Guéra_Prefecture,"Mongo,_Chad"
Imperial_County_of_Reuss,"Weida,_Thuringia"
Union_of_Sovereign_States,Moscow
Republic_of_Lucca,Lucca
Mie_Prefecture,"Tsu,_Mie"
Kingdom_of_Gwynedd,Abergwyngregyn
History_of_Speyer,Speyer
Principality_of_Aschaffenburg,Aschaffenburg
Euboea,Chalcis
List_of_Zambians,Lusaka
Aleppo_Vilayet,Aleppo
Upper_Mustang,Lo_Manthang
Principality_of_Valona,Albania
Zamboanga_(province),Zamboanga_City
County_of_Álava,Vitoria-Gasteiz
Duchy_of_Spoleto,Spoleto
Tripura_(princely_state),Agartala
Estado_de_Occidente,"El_Fuerte,_Sinaloa"
Angevin_Empire,Chinon
Hudiksvall_County,Hudiksvall
Xikang,Batang_County
Governorate_of_Paraguay,Asunción
Longobardia,Bari
Doire,Ivrea
Free_City_of_Danzig_(Napoleonic),Gdańsk
Pig_Beach,"Nassau,_Bahamas"
Sukhothai_Kingdom,Mueang_Phitsanulok_District
Taifa_of_Algeciras,Andalusia
Warsaw_Department,Warsaw
Palatinate-Neuburg,Neuburg_an_der_Donau
Ethiopian_Empire,Gondar
New_Jersey,"Trenton,_New_Jersey"
Principality_of_Transylvania_(1711–1867),Sibiu
Sahrawi_Arab_Democratic_Republic,Tifariti
Ugandi_County,Otepää
Taiwan_under_Japanese_rule,Taipei
Emirate_of_Sicily,Palermo
Montana_Territory,"Virginia_City,_Montana"
Ukrainian_Soviet_Socialist_Republic,Kiev
ISIL_territorial_claims,Al-Raqqah
Occupation_of_Japan,Tokyo
Abyei,Abyei_(town)
Principality_of_Catalonia,Barcelona
Kingdom_of_Holland,Utrecht
Saharat_Thai_Doem,Kengtung
Mirampello,"Neapoli,_Crete"
Governorate_General_of_Bahia,"Salvador,_Bahia"
Ribe_Municipality,Ribe
Chuvash_Autonomous_Oblast,Cheboksary
Barony_of_Karytaina,Karytaina
Delhi_Sultanate,"Daulatabad,_Maharashtra"
Song_(state),Shangqiu
Mali_Federation,Dakar
Sarab_Khanate,"Sarab,_East_Azerbaijan"
Elis_Province,"Pyrgos,_Elis"
Principality_of_Salm,"Bocholt,_Germany"
Spanish_Empire,Valladolid
Hungary,Budapest
Kingdom_of_Ava,Inwa
Oregon_Territory,"Corvallis,_Oregon"
Gold_Coast_(British_colony),Cape_Coast
Aro_Confederacy,Arochukwu
Pinya_Kingdom,Pinya
Nebraska,"Lincoln,_Nebraska"
County_of_Katzenelnbogen,Katzenelnbogen
Montserrat,"Plymouth,_Montserrat"
Electorate_of_Cologne,Cologne
Province_of_Avalon,Ferryland
Duchy_of_Salzburg,Salzburg
United_States_of_the_Ionian_Islands,Corfu_(city)
Lao_Issara,Vientiane
History_of_Ireland_(1801–1923),Dublin
Empire_of_Trebizond,Trabzon
Habsburg_Spain,Valladolid
State_of_Palestine,Jerusalem
Catepanate_of_Italy,Bari
Provisional_Government_of_Western_Thrace,Komotini
Xia_(Sixteen_Kingdoms),Pingliang
Duchy_of_Brabant,Brussels
East_Africa_Protectorate,Nairobi
Sultanate_of_Tidore,Tidore
Nassau-Siegen,Siegen
Alta_California,"Monterey,_California"
Principality_of_Serbia,Belgrade
Province_of_New_Hampshire,"Exeter,_New_Hampshire"
Aruba,"Oranjestad,_Aruba"
Donetsk_Governorate,Luhansk
Margravate_of_Meissen,Meissen
Rhodesia,Harare
Thirteen_Colonies,Kingdom_of_England
Second_Mexican_Empire,Mexico_City
Naxos,Naxos_(city)
Sur_Empire,Sasaram
Xia_dynasty,Dengfeng
Kara_Del,Hami_City
Grand_Principality_of_Serbia,Stari_Ras
Sennar_(sultanate),Sennar
Islamic_Courts_Union,Mogadishu
Aomori_Prefecture,"Aomori,_Aomori"
Wallachia,Câmpulung
Kalmar_Union,Copenhagen
Kingdom_of_Kandy,Kandy
March_of_Tuscany,Lucca
Hammadid_dynasty,Béjaïa
Duchy_of_Nysa,"Nysa,_Poland"
Khmer_Empire,Angkor
Mamluk_dynasty_of_Iraq,Baghdad
Kurt_dynasty,Herat
Georgia_(U.S._state),Atlanta
Hoysala_Empire,Belur
Mughal_Empire,Agra
Safavid_dynasty,Isfahan
Georgia_(country),Kutaisi
French_Fifth_Republic,Paris
Caucasian_Albania,Qabala
Jaffna_kingdom,Nallur_(Jaffna)
Łomża_Department,Łomża
British_Leeward_Islands,"St._John's,_Antigua_and_Barbuda"
Transnistria_autonomous_territorial_unit_with_special_legal_status,Tiraspol
Lithuania,Vilnius
Republic_of_Ostrów,Ostrów_Wielkopolski
Palatinate-Lützelstein,La_Petite-Pierre
Tsardom_of_Bulgaria,Vidin
Biltine_Prefecture,"Biltine,_Chad"
Herodian_kingdom,Jerusalem
Christ_Church_Nichola_Town_Parish,Nichola_Town
Commune_of_the_Working_People_of_Estonia,Narva
Moldova,Chișinău
Duchy_of_Lithuania,Vilnius
Posavina_Canton,Orašje
Saint-Domingue,Cap-Haïtien
"United_Kingdom_of_Portugal,_Brazil_and_the_Algarves",Rio_de_Janeiro
Kingdom_of_Abkhazia,Anacopia_Fortress
North_Borneo,Sandakan
Chechen-Ingush_Autonomous_Soviet_Socialist_Republic,Grozny
Patria_del_Friuli,Aquileia
New_Mexico_Territory,"Santa_Fe,_New_Mexico"
Lan_Na,Fang_District
Mosul_Eyalet,Mosul
Sanjak_of_Niš,Niš
Archangelgorod_Governorate,Arkhangelsk
Hohenlohe,Öhringen
Somali_Republic,Mogadishu
Dakota_Territory,"Yankton,_South_Dakota"
Tanganyika,Dar_es_Salaam
Phayao_Kingdom,Phayao
Beylik_of_Dulkadir,Elbistan
Xianbei_state,Orkhon_River
Prince-Bishopric_of_Montenegro,Cetinje
Lordship_of_Frisia,Leeuwarden
Duchy_of_Savoy,Chambéry
Lac_Prefecture,"Bol,_Chad"
Dathina,Mudiyah
Eurasian_Economic_Community,Moscow
Kengtawng_State,Keng_Tawng
Indo-Greek_Kingdom,Charsadda
March_of_Montferrat,Casale_Monferrato
Duchy_of_Normandy,Rouen
Moyen-Cavally,Guiglo
Republic_of_Maryland,"Harper,_Liberia"
Pomeranian_Voivodeship_(1466–1772),Skarszewy
Principality_of_Auersperg,"Tengen,_Germany"
Duchy_of_Racibórz,Racibórz
Győr_County,Győr
Ioannina_Eyalet,Ioannina
Idel-Ural_State,Kazan
Imamate_of_Futa_Jallon,Timbo
Kamianets_Okruha,Kamianets-Podilskyi
Odanad,Kayamkulam
Zanjan_Khanate,"Zanjan,_Iran"
Ukrainian_People's_Republic_of_Soviets,Kharkiv
Later_Jin_(Five_Dynasties),Luoyang
Odessa_Governorate,Odessa
West_Germany,Bonn
Chile,Santiago
Orange_River_Colony,Bloemfontein
Austrian_Silesia,Opava
Xinjiang_under_Qing_rule,Ürümqi
Viscounty_of_Béarn,"Pau,_Pyrénées-Atlantiques"
General_Government,Kraków
Tughlaq_dynasty,Delhi
Kushan_Empire,Peshawar
Principality_of_Polotsk,Polotsk
Shule_Kingdom,Kashgar
Berchtesgaden_Provostry,Berchtesgaden
Russian_Republic,Saint_Petersburg
Príncipe,Santo_António
Principality_of_Lichtenberg,Sankt_Wendel
Greece,Athens
Italian_Social_Republic,Salò
Oklahoma,Oklahoma_City
Estonian_Soviet_Socialist_Republic,Tallinn
Rajahnate_of_Cebu,Cebu_City
Bishopric_of_Speyer,Philippsburg
Tokyo_Prefecture,Tokyo_City
Reichsgau_Sudetenland,Liberec
New_France,Quebec_City
Guangzhouwan,Zhanjiang
Ottoman_Crete,Chania
Afghan_Interim_Administration,Kabul
Saarland,Saarbrücken
Lithuanian–Byelorussian_Soviet_Socialist_Republic,Vilnius
Chinese_Soviet_Republic,Ruijin
Jabal_al_Akhdar,"Bayda,_Libya"
Maratha_Empire,Gingee
Provincias_Internas,Durango_City
Republic_of_Cabinda,Cabinda_(city)
Jefferson_(proposed_Pacific_state),"Yreka,_California"
Electorate_of_Hesse,Kassel
Republic_of_Saugeais,Montbenoît
Gansu_Uyghur_Kingdom,Dunhuang
Viscounty_of_Béarn,Lescar
Kiev_Viceroyalty,Kiev
KaNgwane,Kamatsamo
Älvsborg_County,Vänersborg
Viceroyalty_of_Peru,Lima
Ouaddaï_Prefecture,Abéché
Province_of_North_Carolina,"Edenton,_North_Carolina"
Qi_(Li_Maozhen's_state),Fengxiang_County
Caucasian_Albania,"Barda,_Azerbaijan"
Murzuq_District,Murzuk
Ross_Dependency,McMurdo_Station
Geography_of_Saint_Pierre_and_Miquelon,"Saint-Pierre,_Saint_Pierre_and_Miquelon"
Spania,Málaga
Suwałki_Governorate,Suwałki
Circassia,Sochi
Union_of_South_Africa,Cape_Town
Lordship_of_Groningen,Groningen
Barony_of_Chalandritsa,Chalandritsa
Constitutional_Protection_Junta,Guangzhou
Duchy_of_Jawor,Jawor
Tulunids,Al-Qata'i
Lucania_(theme),Tursi
Habsburg_Netherlands,Brussels
Bihać_Republic,Bihać
Third_Czechoslovak_Republic,Prague
Provisional_Government_of_Hawaii,Honolulu
Eyalet_of_the_Archipelago,Gelibolu
Iowa_Territory,"Burlington,_Iowa"
County_of_Gorizia,Gorizia
Fyllida,Nea_Zichni
Venezuela_Province,El_Tocuyo
Crimean_Autonomous_Soviet_Socialist_Republic,Simferopol
Ba_(state),Fuling_District
Bishopric_of_Cammin__Hochstift_Cammina__1,Koszalin
Duchy_of_Bukovina,Chernivtsi
Kingdom_of_Poland_(1025–1385),Gniezno
Khatumo_State,Las_Anod
Jund_Filastin,Ramla
Third_Hellenic_Republic,Athens
Xikang,Kangding
Hadrami_sheikhdom,Al-Shibr
Moldavian_Democratic_Republic,Chișinău
Pars_(Sasanian_province),"Firuzabad,_Fars"
Democratic_Republic_of_Afghanistan,Kabul
Saint_Thomas_Lowland_Parish,Cotton_Ground
Saxe-Römhild,Römhild
Government_of_Free_Vietnam,Texas
Mauritius,Port_Louis
Kingdom_of_Tahiti,Papeete
Emirate_of_Trarza,Mederdra
Azerbaijan_Democratic_Republic,Baku
Vaspurakan,"Van,_Turkey"
Kingdom_of_the_Kartvels,Ardanuç
Moldavia,Suceava
Second_Philippine_Republic,Manila
Kingdom_of_Northumbria,York
Mongolian_People's_Republic,Ulaanbaatar
Prince-Bishopric_of_Warmia,Lidzbark_Warmiński
Polish–Lithuanian_Commonwealth,Warsaw
League_of_Nations,Geneva
Kahuripan,Surabaya
Byzantine_Crete,Heraklion
Saare_County__Osilia__1,Pöide_Parish
Qin_dynasty,Xianyang
Kingdom_of_Corsica_(1736),Cervione
Bihar_and_Orissa_Province,Patna
Kara_Koyunlu,Tabriz
Tunisia,Tunis
Free_State_of_Brunswick,Braunschweig
Northern_Yuan_dynasty,Shangdu
Principality_of_Ryazan,Murom
Austrian_Empire,Vienna
Reichskommissariat_Moskowien,Moscow
Aerican_Empire,Montreal
Western_Roman_Empire,Ravenna
Sallarid_dynasty,Tarom_County
Chernigov_Governorate,Chernihiv
Safavid_dynasty,Tabriz
Prince-Bishopric_of_Bamberg,Bamberg
Alpes_Maritimae,"Embrun,_Hautes-Alpes"
Duchy_of_Athens,Athens
Gupta_Empire,Pataliputra
Chari-Baguirmi_Prefecture,N'Djamena
Ukrainian_Soviet_Socialist_Republic,Kharkiv
Kenya,Nairobi
Provisional_Revolutionary_Government_of_the_Republic_of_South_Vietnam,Tây_Ninh
Kievan_Rus',Kiev
Sovereign_Military_Order_of_Malta,Palazzo_Malta
Taifa_of_Albarracín,Albarracín
Shariff_Kabunsuan,"Datu_Odin_Sinsuat,_Maguindanao"
Malta_Protectorate,Valletta
Torontál_County,Zrenjanin
Nizari_Ismaili_state,Alamut_Castle
Office_International_d'Hygiène_Publique,Paris
Masovian_Voivodeship_(1526–1795),Warsaw
Wu_(Ten_Kingdoms),Yangzhou
Connecticut_Colony,"New_Haven,_Connecticut"
History_of_the_Philippines_(1946–65),Manila
Djibouti,Djibouti_(city)
Eastern_Wu,Ezhou
Republic_of_Biak-na-Bato,"San_Miguel,_Bulacan"
Territory_of_Papua,Port_Moresby
Republic_of_Venice,Venice
Sud_Department_(Ivory_Coast),Abidjan
Liberia,Monrovia
People's_Democratic_Republic_of_Ethiopia,Addis_Ababa
Kingdom_of_Vientiane,Vientiane
Scythia_Minor,Constanța
Xinjiang_under_Qing_rule,Yining_City
Kingdom_of_Galicia–Volhynia,Halych
Kingdom_of_the_Canary_Islands,Teguise_(municipality)
Juba_County,Juba
German_Samoa,Apia
Strandzha_Commune,Malko_Tarnovo
Ishikawa_Prefecture,Kanazawa
Austria-Hungary,Budapest
Irish_Republic,Dublin
Archbishopric_of_Bremen,Basdahl
Grand_Duchy_of_Cracow,Kraków
Principality_of_Orange,"Orange,_Vaucluse"
Civitas_Schinesghe,Gniezno
Canton_of_Léman,Lausanne
Spanish_West_Indies,Santo_Domingo
Kingdom_of_Dambadeniya,Dambadeniya
Habsburg_Spain,Madrid
Dominican_Republic,Santo_Domingo
Vietnam,Hanoi
Duchy_of_Bar,Bar-le-Duc
Colón_Island,"Bocas_Town,_Bocas_del_Toro"
Kingdom_of_Hungary,Debrecen
Saxe-Coburg,Coburg
Olonets_Governorate,Petrozavodsk
Kuban-Black_Sea_Soviet_Republic,Krasnodar
Province_of_Maryland,"Annapolis,_Maryland"
Spanish_East_Indies,Cebu
Principality_of_Volhynia,Volodymyr-Volynskyi
Anglo-Egyptian_Sudan,Khartoum
Mahmud_Raqi_District,Mahmud-i-Raqi
County_of_Veldenz,Veldenz
Republic_of_Kuwait,Kuwait_City
East_Timor,Dili
Montana,"Helena,_Montana"
Hsawnghsup,Thaungdut
Wa_State,Pangkham
Sokoto_Caliphate,Gudu
Socialist_Republic_of_Serbia,Belgrade
Nueva_Segovia_Department,Ocotal
Allied-occupied_Germany,Frankfurt
Sanjak_of_Dibra,Debar
Second_Federal_Republic_of_Mexico,Mexico_City
Zagreb_Oblast,Zagreb
Taifa_of_Arcos,Arcos_de_la_Frontera
Autonomous_Republic_of_Northern_Epirus,Gjirokastër
Military-Political_System_of_Samos,"Vathy,_Samos"
Netherlands-Indonesian_Union,Jakarta
Duchies_of_Silesia,Opava
Nagas_of_Padmavati,Padmavati_Pawaya
Electorate_of_Brunswick-Lüneburg,Hanover
Centrocaspian_Dictatorship,Baku
Duchy_of_Brittany,Nantes
Mongolia,Ulaanbaatar
Lordship_of_Berat,Berat
Bengal_Subah,Murshidabad
South_Russian_Government,Novorossiysk
Byelorussian_Soviet_Socialist_Republic,Minsk
Norwegian_expansion_during_the_Middle_Ages,Oslo
Hato_Mayor_Province,Hato_Mayor_del_Rey
Chanderi_District,"Lalitpur,_India"
Banat_of_Temeswar,Timișoara
Najd_Sanjak,Hofuf
All-Palestine_Government,Gaza_City
Hesse-Nassau,Kassel
Greek_military_junta_of_1967–74,Athens
Province_of_Upper_Silesia,Katowice
Kazakh_Khanate,Turkistan_(city)
Kingdom_of_Croatia_(Habsburg),Zagreb
Molodechno_Region,Maladzyechna
Umayyad_Caliphate,Harran
Kingdom_of_the_Burgundians,Lyon
Landgraviate_of_Hesse,Gudensberg
Utah,Salt_Lake_City
Shishunaga_dynasty,Rajgir
Grand_Duchy_of_Berg,Düsseldorf
Massachusetts,Boston
Guinea,Conakry
Dutch_Celebes,Makassar
Temes_County,Timișoara
Coorg_State,Madikeri
Navahrudak_Voblast,Navahrudak
Kalinyamat_Sultanate,Jepara
Dong'ou_Kingdom,Wenzhou
Lü_(state),"Nanyang,_Henan"
Đinh_dynasty,Hoa_Lư
Republic_of_Siena,Siena
Reorganized_National_Government_of_the_Republic_of_China,Nanjing
Sayn-Homburg,Homburg_Castle
General_Government,Łódź
Nizhny_Novgorod_Governorate,Nizhny_Novgorod
Bishopric_of_Cammin__Hochstift_Cammina__1,Kołobrzeg
Spanish_Formosa,Keelung
Western_Liang_(Sixteen_Kingdoms),Jiuquan
Samarkand_Oblast,Samarkand
Nevada,"Carson_City,_Nevada"
Estonia,Tallinn
County_of_Sponheim,Sponheim
County_of_Holzappel,Holzappel
Federation_of_Bosnia_and_Herzegovina,Sarajevo
Gömör_és_Kishont_County,Rimavská_Sobota
Niigata_Prefecture,"Niigata,_Niigata"
Electorate_of_Saxony,Meissen
Transcaucasian_Democratic_Federative_Republic,Tbilisi
Moldavia,Siret
Lokot_Autonomy,Bryansk_Oblast
Western_Chalukya_Empire,Manyakheta
Reichskommissariat_Don-Wolga,Rostov-on-Don
Sanjak_of_Segedin,Szeged
"Banat,_Bačka_and_Baranja",Novi_Sad
Chechen_Republic_of_Ichkeria,Grozny
Maratha_Empire,Pune
Gran_Colombia,Bogotá
Nebraska_Territory,"Omaha,_Nebraska"
Aghlabids,Kairouan
German_New_Guinea,Rabaul
Württemberg-Hohenzollern,Tübingen
Bavand_dynasty,Amol
Duchy_of_Bohemia,Prague
Gurian_Republic,Ozurgeti
Kingdom_of_Tlemcen,Tlemcen
Wagifa_Island,Port_Moresby
Eastern_Rumelia,Plovdiv
Kingdom_of_Iberia,Tbilisi
Australian_Antarctic_Territory,Davis_Station
Dark_ages_of_Cambodia,Srey_Santhor_District
Edessa_Province,"Edessa,_Greece"
Anglo-Corsican_Kingdom,"Corte,_Haute-Corse"
Clifton_County,"Waitara,_New_Zealand"
Vogtland,Gera
Samanid_Empire,Samarkand
Kingdom_of_Montenegro,Cetinje
County_of_Toulouse,Toulouse
Okinawa_Prefecture,Naha
Kirman_(Sasanian_province),Sirjan
Sovereign_Council_of_Asturias_and_León,Gijón
San_Juan_Province_(Dominican_Republic),San_Juan_de_la_Maguana
Hüdavendigâr_Vilayet,Bursa
Zulu_Kingdom,Ulundi
Pannonia_Prima,Szombathely
Eyalet_of_Van,"Van,_Turkey"
Southern_Nigeria_Protectorate,Lagos
Palmares_(quilombo),Alagoas
Gangaridai,Bengal
Bishopric_of_Lebus,Lebus
Illyrian_Provinces,Ljubljana
Adal_Sultanate,Zeila
North_Rhine-Westphalia,Düsseldorf
Kingdom_of_Araucanía_and_Patagonia,Cautín_Province
Realm_of_Stefan_Dragutin,Debrc
Jász-Nagykun-Szolnok_County_(former),Szolnok
Bengal_Subah,Rajmahal
Confederation_of_the_Rhine,Free_City_of_Frankfurt
Grand_Duchy_of_Mecklenburg-Schwerin,Schwerin
