id,sub,obj,class
1,Nepal,Kathmandu,1
2,Portugal,Lisbon,1
3,India,New_Delhi,1
4,Netherlands,Amsterdam,1
5,South_Korea,Seoul,1
6,Cuba,Havana,1
7,Egypt,Cairo,1
8,Zimbabwe,Harare,1
9,Afghanistan,Kabul,1
10,Austria,Vienna,1
11,Bangladesh,Dhaka,1
12,Belgium,Brussels,1
13,Canada,Ottawa,1
14,Fiji,Suva,1
15,France,Paris,1
16,Germany,Berlin,1
17,Iran,Tehran,1
18,Qatar,Doha,1
19,Italy,Rome,1
20,Bhutan,Thimphu,1
21,Nepal,Lisbon,0
22,France,Rome,0
23,South_Korea,Ottawa,0
24,Portugal,Kathmandu,0
25,Netherlands,Brussels,0
26,Zimbabwe,Brussels,0
27,Portugal,Paris,0
28,Fiji,Lisbon,0
29,Bhutan,Dhaka,0
30,Iran,Rome,0
31,Iran,Amsterdam,0
32,Canada,Dhaka,0
33,Canada,Brussels,0
34,Cuba,Lisbon,0
35,Canada,Cairo,0
36,Italy,Amsterdam,0
37,Belgium,Dhaka,0
38,Bangladesh,Havana,0
39,India,Amsterdam,0
40,Portugal,Kabul,0
