sid,sub,obj,class
1,dbr:Alabama,"dbr:Montgomery,_Alabama",1
2,dbr:Alaska,"dbr:Juneau,_Alaska",1
3,dbr:Arizona,"dbr:Phoenix,_Arizona",1
4,dbr:Arkansas,"dbr:Little_Rock,_Arkansas",1
5,dbr:California,"dbr:Sacramento,_California",1
6,dbr:Colorado,dbr:Denver,1
7,dbr:Connecticut,"dbr:Hartford,_Connecticut",1
8,dbr:Delaware,"dbr:Dover,_Delaware",1
9,dbr:Florida,"dbr:Tallahassee,_Florida",1
10,dbr:Georgia,dbr:Atlanta,1
11,dbr:Hawaii,dbr:Honolulu,1
12,dbr:Idaho,"dbr:Boise,_Idaho",1
13,dbr:Illinois,"dbr:Springfield,_Illinois",1
14,dbr:Indiana,dbr:Indianapolis,1
15,dbr:Iowa,"dbr:Des_Moines,_Iowa",1
16,dbr:Kansas,"dbr:Topeka,_Kansas",1
17,dbr:Kentucky,"dbr:Frankfort,_Kentucky",1
18,dbr:Louisiana,"dbr:Baton_Rouge,_Louisiana",1
19,dbr:Maine,"dbr:Augusta,_Maine",1
20,dbr:Maryland,"dbr:Annapolis,_Maryland",1
21,dbr:Massachusetts,dbr:Boston,1
22,dbr:Michigan,"dbr:Lansing,_Michigan",1
23,dbr:Minnesota,"dbr:Saint_Paul,_Minnesota",1
24,dbr:Mississippi,"dbr:Jackson,_Mississippi",1
25,dbr:Missouri,"dbr:Jefferson_City,_Missouri",1
26,dbr:Montana,"dbr:Helena,_Montana",1
27,dbr:Nebraska,"dbr:Lincoln,_Nebraska",1
28,dbr:Nevada,"dbr:Carson_City,_Nevada",1
29,dbr:New_Hampshire,"dbr:Concord,_New_Hampshire",1
30,dbr:New_Jersey,"dbr:Trenton,_New_Jersey",1
31,dbr:New_Mexico,"dbr:Santa_Fe,_New_Mexico",1
32,dbr:New_York,"dbr:Albany,_New_York",1
33,dbr:North_Carolina,"dbr:Raleigh,_North_Carolina",1
34,dbr:North_Dakota,"dbr:Bismarck,_North_Dakota",1
35,dbr:Ohio,"dbr:Columbus,_Ohio",1
