http://dbpedia.org/ontology/writer(v0,object) & http://dbpedia.org/ontology/format(v0,v1) & http://dbpedia.org/ontology/format(subject,v1)
http://dbpedia.org/ontology/Work/runtime(subject,v0) & <(v0,v1) & http://dbpedia.org/ontology/activeYearsStartYear(object,v1)
http://dbpedia.org/ontology/genre(subject,v0) & http://dbpedia.org/ontology/musicSubgenre(v1,v0) & http://dbpedia.org/ontology/genre(object,v1)
http://dbpedia.org/ontology/birthYear(object,v0) & >(v0,v1) & http://dbpedia.org/ontology/Work/runtime(subject,v1)
http://dbpedia.org/ontology/subsequentWork(v0,subject) & http://dbpedia.org/ontology/previousWork(v0,v1) & http://dbpedia.org/ontology/writer(v1,object)
http://dbpedia.org/ontology/writer(v0,object) & http://dbpedia.org/ontology/genre(v0,v1) & http://dbpedia.org/ontology/genre(subject,v1)
http://dbpedia.org/ontology/runtime(subject,v0) & >(v0,v1) & http://dbpedia.org/ontology/deathYear(object,v1)
http://dbpedia.org/ontology/previousWork(v0,subject) & http://dbpedia.org/ontology/subsequentWork(v0,v1) & http://dbpedia.org/ontology/writer(v1,object)
http://dbpedia.org/ontology/subsequentWork(v0,subject) & http://dbpedia.org/ontology/album(v0,v1) & http://dbpedia.org/ontology/producer(v1,object)
http://dbpedia.org/ontology/series(subject,v0) & http://dbpedia.org/ontology/series(v1,v0) & http://dbpedia.org/ontology/writer(v1,object)
