0.7  spouse(A ,B)  :-  predecessor(B ,C)   ,  spouse(C ,D)   ,  predecessor(A ,D).
0.69  spouse(A ,B)  :-  predecessor(C ,B)   ,  activeYearsStartYear(C ,D)   ,  activeYearsEndYear(A ,D).
-3.23  spouse(A ,B)  :-  deathDate(B ,C)   ,  deathDate(A ,D)   ,  C>D.
0.7  spouse(A ,B)  :-  parent(C ,A)   ,  child(A ,C)   ,  spouse(B ,A).
0.68  spouse(A ,B)  :-  starring(C ,A)   ,  starring(D ,B)   ,  C=D.
-9.65  spouse(A ,B)  :-  occupation(A ,C)   ,  birthPlace(B ,D)   ,  C=D.
0.69  spouse(A ,B)  :-  imdbId(B ,C)   ,  activeYearsStartYear(A ,D)   ,  C>D.
0.7  spouse(A ,B)  :-  successor(C ,B)   ,  spouse(D ,C)   ,  successor(D ,A).
0.69  spouse(A ,B)  :-  relative(C ,A)   ,  parent(D ,B)   ,  C=D.
0.67  spouse(A ,B)  :-  occupation(A ,C)   ,  deathPlace(B ,D)   ,  C=D.
0.68  spouse(A ,B)  :-  birthYear(A ,C)   ,  activeYearsStartYear(B ,D)   ,  C<D.
0.68  spouse(A ,B)  :-  birthYear(A ,C)   ,  birthYear(B ,D)   ,  C<D.
0.7  spouse(A ,B)  :-  spouse(B ,A)   ,  parent(C ,B)   ,  parent(C ,A).
0.69  spouse(A ,B)  :-  deathPlace(A ,C)   ,  country(C ,D)   ,  birthPlace(B ,D).
0.7  spouse(A ,B)  :-  birthPlace(A ,C)   ,  deathPlace(B ,C)   ,  spouse(B ,A).
0.69  spouse(A ,B)  :-  writer(C ,A)   ,  occupation(B ,D)   ,  D=C.
0.68  spouse(A ,B)  :-  activeYearsStartYear(B ,C)   ,  birthYear(A ,D)   ,  C>D.
0.7  spouse(A ,B)  :-  predecessor(C ,A)   ,  spouse(D ,C)   ,  predecessor(D ,B).
0.7  spouse(A ,B)  :-  parent(C ,B)   ,  successor(A ,C)   ,  spouse(B ,A).
0.7  spouse(A ,B)  :-  successor(C ,A)   ,  spouse(D ,C)   ,  successor(D ,B).
0.69  spouse(A ,B)  :-  starring(C ,A)   ,  country(C ,D)   ,  birthPlace(B ,D).
0.69  spouse(A ,B)  :-  producer(C ,A)   ,  starring(D ,B)   ,  C=D.
0.7  spouse(A ,B)  :-  predecessor(C ,B)   ,  spouse(C ,D)   ,  predecessor(D ,A).
0.7  spouse(A ,B)  :-  birthPlace(B ,C)   ,  nationality(B ,C)   ,  spouse(B ,A).
0.68  spouse(A ,B)  :-  starring(C ,A)   ,  starring(D ,B)   ,  D=C.
0.7  spouse(A ,B)  :-  successor(A ,C)   ,  predecessor(A ,C)   ,  spouse(B ,A).
0.69  spouse(A ,B)  :-  starring(C ,B)   ,  writer(D ,A)   ,  C=D.
0.7  spouse(A ,B)  :-  successor(C ,B)   ,  spouse(C ,D)   ,  successor(D ,A).
0.7  spouse(A ,B)  :-  activeYearsEndYear(A ,C)   ,  activeYearsEndYear(B ,C).
0.7  spouse(A ,B)  :-  spouse(B ,A)   ,  parent(C ,B)   ,  predecessor(C ,A).
