0.58875  spouse(A ,B)  :-  spouse(B ,A).
0.015  spouse(A ,B)  :-  predecessor(B ,C) ,  spouse(C ,D) ,  predecessor(A ,D).
0.01375  spouse(A ,B)  :-  predecessor(C ,B) ,  activeYearsStartYear(C ,D) ,  activeYearsEndYear(A ,D).
0.3375  spouse(A ,B)  :-  deathDate(B ,C) ,  deathDate(A ,D) ,  C>D.
0.04375  spouse(A ,B)  :-  parent(C ,A) ,  child(A ,C) ,  spouse(B ,A).
0.17125  spouse(A ,B)  :-  starring(C ,A) ,  starring(D ,B) ,  !C=D.
0.36  spouse(A ,B)  :-  occupation(A ,C) ,  birthPlace(B ,D) ,  !C=D.
0.05625  spouse(A ,B)  :-  imdbId(B ,C) ,  activeYearsStartYear(A ,D) ,  C>D.
0.02125  spouse(A ,B)  :-  successor(C ,B) ,  spouse(D ,C) ,  successor(D ,A).
0.01375  spouse(A ,B)  :-  relative(C ,A) ,  parent(D ,B) ,  !C=D.
0.12875  spouse(A ,B)  :-  occupation(A ,C) ,  deathPlace(B ,D) ,  !C=D.
0.2  spouse(A ,B)  :-  birthYear(A ,C) ,  activeYearsStartYear(B ,D) ,  C<D.
0.13125  spouse(A ,B)  :-  birthYear(A ,C) ,  birthYear(B ,D) ,  C<D.
0.1025  spouse(A ,B)  :-  spouse(B ,A) ,  parent(C ,B) ,  parent(C ,A).
0.02375  spouse(A ,B)  :-  deathPlace(A ,C) ,  country(C ,D) ,  birthPlace(B ,D).
0.02625  spouse(A ,B)  :-  birthPlace(A ,C) ,  deathPlace(B ,C) ,  spouse(B ,A).
0.05  spouse(A ,B)  :-  writer(C ,A) ,  occupation(B ,D) ,  !D=C.
0.2  spouse(A ,B)  :-  activeYearsStartYear(B ,C) ,  birthYear(A ,D) ,  C>D.
0.015  spouse(A ,B)  :-  predecessor(C ,A) ,  spouse(D ,C) ,  predecessor(D ,B).
0.0125  spouse(A ,B)  :-  parent(C ,B) ,  successor(A ,C) ,  spouse(B ,A).
0.01875  spouse(A ,B)  :-  successor(C ,A) ,  spouse(D ,C) ,  successor(D ,B).
0.0375  spouse(A ,B)  :-  starring(C ,A) ,  country(C ,D) ,  birthPlace(B ,D).
0.04  spouse(A ,B)  :-  producer(C ,A) ,  starring(D ,B) ,  !C=D.
0.015  spouse(A ,B)  :-  predecessor(C ,B) ,  spouse(C ,D) ,  predecessor(D ,A).
0.0125  spouse(A ,B)  :-  birthPlace(B ,C) ,  nationality(B ,C) ,  spouse(B ,A).
0.17125  spouse(A ,B)  :-  starring(C ,A) ,  starring(D ,B) ,  !D=C.
0.0175  spouse(A ,B)  :-  successor(A ,C) ,  predecessor(A ,C) ,  spouse(B ,A).
0.04375  spouse(A ,B)  :-  starring(C ,B) ,  writer(D ,A) ,  !C=D.
0.01875  spouse(A ,B)  :-  successor(C ,B) ,  spouse(C ,D) ,  successor(D ,A).
0.025  spouse(A ,B)  :-  activeYearsEndYear(A ,C) ,  activeYearsEndYear(B ,C).
0.0125  spouse(A ,B)  :-  spouse(B ,A) ,  parent(C ,B) ,  predecessor(C ,A).
0.05  spouse(A ,B)  :-  writer(C ,B) ,  starring(D ,A) ,  !C=D.
0.015  spouse(A ,B)  :-  birthPlace(A ,C) ,  nationality(B ,C).
0.205  spouse(A ,B)  :-  activeYearsStartYear(A ,C) ,  birthYear(B ,D) ,  C>D.
0.17125  spouse(A ,B)  :-  starring(C ,B) ,  starring(D ,A) ,  !C=D.
0.0175  spouse(A ,B)  :-  successor(B ,C) ,  spouse(C ,D) ,  predecessor(D ,A).
0.0175  spouse(A ,B)  :-  successor(A ,C) ,  spouse(C ,D) ,  predecessor(D ,B).
0.015  spouse(A ,B)  :-  successor(C ,A) ,  spouse(C ,D) ,  predecessor(B ,D).
0.0125  spouse(A ,B)  :-  parent(C ,A) ,  predecessor(C ,B) ,  spouse(B ,A).
0.0575  spouse(A ,B)  :-  birthPlace(A ,C) ,  deathPlace(A ,C) ,  spouse(B ,A).
0.04375  spouse(A ,B)  :-  writer(C ,A) ,  starring(D ,B) ,  !D=C.
